wanted,position,positionid,from,start,end
Q30307487,Deputy Prime Minister,Q17513826,Q31965727,2017-09-13,2019-01-17
Q6517015,Minister of Tourism and Environment,Q107863478,Q13037656,2017-09-13,2021-09-18
Q13045346,Minister of Internal Affairs,Q63792717,Q16354928,2017-03-19,2017-05-24
Q1877224,Mayor of Tirana,Q30587681,Q16354049,2015-07-21,
Q1103899,"Minister of Education, Sport and Youth",Q107863513,Q15193651,2013-09-15,2017-05-11
Q321753,Minister of European Integration,Q112620862,Q16359755,2013-09-15,2017-09-13
Q7578168,Minister of Social Welfare and Youth,Q109524973,Q16354049,2013-09-15,2015-04-30
Q981747,Minister of Finance,Q45178938,Q75582,2013-09-15,2016-02-17
Q1877224,Minister of Internal Affairs,Q63792717,Q57526,2011-04-21,2012-06-12
Q5379020,Minister of Justice,Q55286792,Q57526,2009-09-17,2011-04-25
Q531418,Speaker of the Parliament,Q1850524,Q462441,2005-09-03,2013-09-10
Q13042223,Minister of Foreign Affairs,Q3304204,Q1722312,2003-12-29,2005-09-12
Q980323,Deputy Prime Minister,Q17513826,Q30315479,2003-06,2003-12
